F1 Score,Feature Name,Frequency Count
0.8768115942028986,eyes,22.0
0.7575757575757576,nose,20.0
0.5873015873015873,lips,16.0
0.5535714285714286,eyebrows,13.0
0.4653636102328255,chin,12.0
0.7126190476190476,cheekbones,11.0
0.6062610229276896,cheeks,11.0
0.5930484244437734,hair,11.0
0.5774705866730406,forehead,10.0
0.5569096102943103,ears,8.0
0.5833333333333334,eyelids,7.0
0.7421346077260055,facial_hair,7.0
0.6701884637350086,teeth,6.0
0.695760743321719,head,5.0
0.6877386797599563,mouth,5.0
0.7954545454545453,skin,3.0
0.9379432624113474,neck,1.0
