F1 Score,Feature Name,Frequency Count
0.8768115942028986,eyes,22.0
0.7575757575757576,nose,20.0
0.5736300023586761,lips,16.0
0.48835336922585243,eyebrows,13.0
0.44039638589332564,chin,12.0
0.7829685746352413,cheekbones,11.0
0.6644042232277525,cheeks,11.0
0.5491149531748482,hair,11.0
0.6100569259962049,forehead,10.0
0.6663716596602501,ears,8.0
0.6003287016285671,eyelids,7.0
0.8264946764946763,facial_hair,7.0
0.6387559808612441,teeth,6.0
0.7094564240790657,head,5.0
0.5992685475444096,mouth,5.0
0.8082959641255606,skin,3.0
0.9379432624113474,neck,1.0
