"Step","sub carver img - F1 Score","sub carver img - F1 Score__MIN","sub carver img - F1 Score__MAX","sub ver img - F1 Score","sub ver img - F1 Score__MIN","sub ver img - F1 Score__MAX","sub car img - F1 Score","sub car img - F1 Score__MIN","sub car img - F1 Score__MAX"
"0","0.900597321186521","0.900597321186521","0.900597321186521","0.8968409337929873","0.8968409337929873","0.8968409337929873","0.897113345007326","0.897113345007326","0.897113345007326"
"1","0.9016769690459586","0.9016769690459586","0.9016769690459586","0.9017507309003928","0.9017507309003928","0.9017507309003928","0.8995691922065657","0.8995691922065657","0.8995691922065657"
"2","0.9028615782010471","0.9028615782010471","0.9028615782010471","0.9023990481574796","0.9023990481574796","0.9023990481574796","0.9007272829512466","0.9007272829512466","0.9007272829512466"
"3","0.9060259059600052","0.9060259059600052","0.9060259059600052","0.9026282649447147","0.9026282649447147","0.9026282649447147","0.8992746773017218","0.8992746773017218","0.8992746773017218"
"4","0.9054668995515688","0.9054668995515688","0.9054668995515688","0.9043837613627096","0.9043837613627096","0.9043837613627096","0.9020455491628131","0.9020455491628131","0.9020455491628131"
"5","0.9072323652843897","0.9072323652843897","0.9072323652843897","0.9064406100430199","0.9064406100430199","0.9064406100430199","0.9020955079989931","0.9020955079989931","0.9020955079989931"
"6","0.9086107643767024","0.9086107643767024","0.9086107643767024","0.906079781168055","0.906079781168055","0.906079781168055","0.9042171937246166","0.9042171937246166","0.9042171937246166"
"7","0.9097693253211636","0.9097693253211636","0.9097693253211636","0.9090124364046221","0.9090124364046221","0.9090124364046221","0.9039654324255998","0.9039654324255998","0.9039654324255998"
"8","0.9106743534636461","0.9106743534636461","0.9106743534636461","0.9076644456847961","0.9076644456847961","0.9076644456847961","0.9053370208400038","0.9053370208400038","0.9053370208400038"
"9","0.9113499231530416","0.9113499231530416","0.9113499231530416","0.9094518661573007","0.9094518661573007","0.9094518661573007","0.9051583706802948","0.9051583706802948","0.9051583706802948"
"10","0.912524651217298","0.912524651217298","0.912524651217298","0.9099815362675072","0.9099815362675072","0.9099815362675072","0.90645641637509","0.90645641637509","0.90645641637509"
"11","0.9131831966300173","0.9131831966300173","0.9131831966300173","0.9096259772329849","0.9096259772329849","0.9096259772329849","0.9069876343849836","0.9069876343849836","0.9069876343849836"
"12","0.9139808770052453","0.9139808770052453","0.9139808770052453","0.9100292268627972","0.9100292268627972","0.9100292268627972","0.9065645482891783","0.9065645482891783","0.9065645482891783"
"13","0.9145093991533806","0.9145093991533806","0.9145093991533806","0.9105912293893784","0.9105912293893784","0.9105912293893784","0.9067344433831442","0.9067344433831442","0.9067344433831442"
"14","0.914532451015402","0.914532451015402","0.914532451015402","0.9114397690546195","0.9114397690546195","0.9114397690546195","0.9075918182857634","0.9075918182857634","0.9075918182857634"
"15","0.9141290121541826","0.9141290121541826","0.9141290121541826","0.9130902536642402","0.9130902536642402","0.9130902536642402","0.9070616240504297","0.9070616240504297","0.9070616240504297"
"16","0.915790305789792","0.915790305789792","0.915790305789792","0.9119739135758567","0.9119739135758567","0.9119739135758567","0.9076900448427532","0.9076900448427532","0.9076900448427532"
"17","0.9154773515712571","0.9154773515712571","0.9154773515712571","0.9122478375191615","0.9122478375191615","0.9122478375191615","0.9082562617263512","0.9082562617263512","0.9082562617263512"
"18","0.9154837253893352","0.9154837253893352","0.9154837253893352","0.9126204203173939","0.9126204203173939","0.9126204203173939","0.9091064748023977","0.9091064748023977","0.9091064748023977"
"19","0.9161347866825972","0.9161347866825972","0.9161347866825972","0.9121931347329464","0.9121931347329464","0.9121931347329464","0.9079912943568641","0.9079912943568641","0.9079912943568641"
"20","0.915750638435583","0.915750638435583","0.915750638435583","0.9132036327660404","0.9132036327660404","0.9132036327660404","0.9080161950950753","0.9080161950950753","0.9080161950950753"
"21","0.9166239916737186","0.9166239916737186","0.9166239916737186","0.9134614663276429","0.9134614663276429","0.9134614663276429","0.9083394493284065","0.9083394493284065","0.9083394493284065"
"22","0.9165591304476256","0.9165591304476256","0.9165591304476256","0.9119231422263236","0.9119231422263236","0.9119231422263236","0.9089144139271722","0.9089144139271722","0.9089144139271722"
"23","0.916991874583693","0.916991874583693","0.916991874583693","0.9133556825835467","0.9133556825835467","0.9133556825835467","0.909148213833472","0.909148213833472","0.909148213833472"
"24","","","","0.9134773670515037","0.9134773670515037","0.9134773670515037","0.9083580120163989","0.9083580120163989","0.9083580120163989"
"25","","","","0.9139564199927012","0.9139564199927012","0.9139564199927012","","",""
"26","","","","0.9127105358302862","0.9127105358302862","0.9127105358302862","","",""
"27","","","","0.9135977589258436","0.9135977589258436","0.9135977589258436","","",""
"28","","","","0.913851008112086","0.913851008112086","0.913851008112086","","",""
"29","","","","0.9140205860594444","0.9140205860594444","0.9140205860594444","","",""
