"Step","sub carver img - Val Acc","sub carver img - Val Acc__MIN","sub carver img - Val Acc__MAX","sub ver img - Val Acc","sub ver img - Val Acc__MIN","sub ver img - Val Acc__MAX","sub car img - Val Acc","sub car img - Val Acc__MIN","sub car img - Val Acc__MAX"
"0","0.9306660111628445","0.9306660111628445","0.9306660111628445","0.9303334393707163","0.9303334393707163","0.9303334393707163","0.9298707307903641","0.9298707307903641","0.9298707307903641"
"1","0.9307093900922525","0.9307093900922525","0.9307093900922525","0.9303623586569884","0.9303623586569884","0.9303623586569884","0.9302466815119003","0.9302466815119003","0.9302466815119003"
"2","0.9312010179588768","0.9312010179588768","0.9312010179588768","0.9305647936608924","0.9305647936608924","0.9305647936608924","0.9303045200844443","0.9303045200844443","0.9303045200844443"
"3","0.9320685965470372","0.9320685965470372","0.9320685965470372","0.9307961479510686","0.9307961479510686","0.9307961479510686","0.9306804708059805","0.9306804708059805","0.9306804708059805"
"4","0.931591428323549","0.931591428323549","0.931591428323549","0.931692645825501","0.931692645825501","0.931692645825501","0.9307093900922525","0.9307093900922525","0.9307093900922525"
"5","0.9323144104803494","0.9323144104803494","0.9323144104803494","0.9318083229705891","0.9318083229705891","0.9318083229705891","0.9309696636687007","0.9309696636687007","0.9309696636687007"
"6","0.9326180629862055","0.9326180629862055","0.9326180629862055","0.9320107579744932","0.9320107579744932","0.9320107579744932","0.9314902108215969","0.9314902108215969","0.9314902108215969"
"7","0.9324011683391654","0.9324011683391654","0.9324011683391654","0.9324734665548454","0.9324734665548454","0.9324734665548454","0.9311431793863327","0.9311431793863327","0.9311431793863327"
"8","0.9324156279823014","0.9324156279823014","0.9324156279823014","0.9321842736921253","0.9321842736921253","0.9321842736921253","0.9312299372451488","0.9312299372451488","0.9312299372451488"
"9","0.9326614419156135","0.9326614419156135","0.9326614419156135","0.9325891436999335","0.9325891436999335","0.9325891436999335","0.9312299372451488","0.9312299372451488","0.9312299372451488"
"10","0.9327626594175655","0.9327626594175655","0.9327626594175655","0.9328494172763816","0.9328494172763816","0.9328494172763816","0.931692645825501","0.931692645825501","0.931692645825501"
"11","0.9328638769195177","0.9328638769195177","0.9328638769195177","0.9327337401312935","0.9327337401312935","0.9327337401312935","0.9313745336765089","0.9313745336765089","0.9313745336765089"
"12","0.9331096908528298","0.9331096908528298","0.9331096908528298","0.9326180629862055","0.9326180629862055","0.9326180629862055","0.9311720986726048","0.9311720986726048","0.9311720986726048"
"13","0.9332542872841898","0.9332542872841898","0.9332542872841898","0.9329361751351977","0.9329361751351977","0.9329361751351977","0.9311720986726048","0.9311720986726048","0.9311720986726048"
"14","0.9329217154920617","0.9329217154920617","0.9329217154920617","0.933514560860638","0.933514560860638","0.933514560860638","0.9311431793863327","0.9311431793863327","0.9311431793863327"
"15","0.9329506347783336","0.9329506347783336","0.9329506347783336","0.9339483501547182","0.9339483501547182","0.9339483501547182","0.9308250672373406","0.9308250672373406","0.9308250672373406"
"16","0.933514560860638","0.933514560860638","0.933514560860638","0.9333988837155499","0.9333988837155499","0.9333988837155499","0.9305937129471644","0.9305937129471644","0.9305937129471644"
"17","0.9334422626449579","0.9334422626449579","0.9334422626449579","0.9331386101391018","0.9331386101391018","0.9331386101391018","0.9312299372451488","0.9312299372451488","0.9312299372451488"
"18","0.9331241504959658","0.9331241504959658","0.9331241504959658","0.9332542872841898","0.9332542872841898","0.9332542872841898","0.9312588565314208","0.9312588565314208","0.9312588565314208"
"19","0.9333844240724138","0.9333844240724138","0.9333844240724138","0.9331675294253737","0.9331675294253737","0.9331675294253737","0.9309407443824287","0.9309407443824287","0.9309407443824287"
"20","0.9329072558489256","0.9329072558489256","0.9329072558489256","0.9333121258567338","0.9333121258567338","0.9333121258567338","0.9308539865236126","0.9308539865236126","0.9308539865236126"
"21","0.9337603747939501","0.9337603747939501","0.9337603747939501","0.9334278030018219","0.9334278030018219","0.9334278030018219","0.9307383093785245","0.9307383093785245","0.9307383093785245"
"22","0.9338037537233581","0.9338037537233581","0.9338037537233581","0.9328204979901096","0.9328204979901096","0.9328204979901096","0.9311431793863327","0.9311431793863327","0.9311431793863327"
"23","0.9341218658723502","0.9341218658723502","0.9341218658723502","0.9327048208450216","0.9327048208450216","0.9327048208450216","0.9311431793863327","0.9311431793863327","0.9311431793863327"
"24","","","","0.9333988837155499","0.9333988837155499","0.9333988837155499","0.9307672286647966","0.9307672286647966","0.9307672286647966"
"25","","","","0.9338905115821742","0.9338905115821742","0.9338905115821742","","",""
"26","","","","0.9332253679979178","0.9332253679979178","0.9332253679979178","","",""
"27","","","","0.9331096908528298","0.9331096908528298","0.9331096908528298","","",""
"28","","","","0.9334278030018219","0.9334278030018219","0.9334278030018219","","",""
"29","","","","0.933572399433182","0.933572399433182","0.933572399433182","","",""
