"Step","prom car wd0.01 img - F1 Score","prom car wd0.01 img - F1 Score__MIN","prom car wd0.01 img - F1 Score__MAX","prom ver wd0.01 img - F1 Score","prom ver wd0.01 img - F1 Score__MIN","prom ver wd0.01 img - F1 Score__MAX","prom carver wd0.01 img - F1 Score","prom carver wd0.01 img - F1 Score__MIN","prom carver wd0.01 img - F1 Score__MAX"
"0","0.6657326130706732","0.6657326130706732","0.6657326130706732","0.7049153559504083","0.7049153559504083","0.7049153559504083","0.6921852500893584","0.6921852500893584","0.6921852500893584"
"1","0.6924834279144061","0.6924834279144061","0.6924834279144061","0.707383342102507","0.707383342102507","0.707383342102507","0.6833983508363114","0.6833983508363114","0.6833983508363114"
"2","0.6657873687372055","0.6657873687372055","0.6657873687372055","0.7012244680002598","0.7012244680002598","0.7012244680002598","0.6609838933924045","0.6609838933924045","0.6609838933924045"
"3","0.6624457839253919","0.6624457839253919","0.6624457839253919","0.6379818082274036","0.6379818082274036","0.6379818082274036","0.6400051718934435","0.6400051718934435","0.6400051718934435"
"4","0.6377029672069694","0.6377029672069694","0.6377029672069694","0.6557405150700649","0.6557405150700649","0.6557405150700649","0.647959432996048","0.647959432996048","0.647959432996048"
"5","0.6419586293898356","0.6419586293898356","0.6419586293898356","0.6243505892254463","0.6243505892254463","0.6243505892254463","0.657699640915945","0.657699640915945","0.657699640915945"
"6","0.6463285658793105","0.6463285658793105","0.6463285658793105","0.6321637398498027","0.6321637398498027","0.6321637398498027","0.6691604778415141","0.6691604778415141","0.6691604778415141"
"7","0.6154664709567947","0.6154664709567947","0.6154664709567947","0.6337007674630937","0.6337007674630937","0.6337007674630937","0.7594772303805776","0.7594772303805776","0.7594772303805776"
"8","0.6995755735613699","0.6995755735613699","0.6995755735613699","0.7117046287687636","0.7117046287687636","0.7117046287687636","0.7774342775569649","0.7774342775569649","0.7774342775569649"
"9","0.7329293831265073","0.7329293831265073","0.7329293831265073","0.7620611305290039","0.7620611305290039","0.7620611305290039","0.7786451682528784","0.7786451682528784","0.7786451682528784"
"10","0.7368289779835645","0.7368289779835645","0.7368289779835645","0.7687975760709284","0.7687975760709284","0.7687975760709284","0.7848164415543433","0.7848164415543433","0.7848164415543433"
