"Step","prom car wd0.01 img - F1 Score","prom car wd0.01 img - F1 Score__MIN","prom car wd0.01 img - F1 Score__MAX","prom ver wd0.01 img - F1 Score","prom ver wd0.01 img - F1 Score__MIN","prom ver wd0.01 img - F1 Score__MAX","prom carver wd0.01 img - F1 Score","prom carver wd0.01 img - F1 Score__MIN","prom carver wd0.01 img - F1 Score__MAX"
"11","0.7369413199209478","0.7369413199209478","0.7369413199209478","0.7771900765988915","0.7771900765988915","0.7771900765988915","0.7832453855155772","0.7832453855155772","0.7832453855155772"
"12","0.7374606855282114","0.7374606855282114","0.7374606855282114","0.7722450386787347","0.7722450386787347","0.7722450386787347","0.7838219543844259","0.7838219543844259","0.7838219543844259"
"13","0.7356285639189658","0.7356285639189658","0.7356285639189658","0.7736129759933618","0.7736129759933618","0.7736129759933618","0.7830396737463197","0.7830396737463197","0.7830396737463197"
"14","0.7383494886140791","0.7383494886140791","0.7383494886140791","0.7717375338826076","0.7717375338826076","0.7717375338826076","0.7850336373125664","0.7850336373125664","0.7850336373125664"
"15","0.7377475139920566","0.7377475139920566","0.7377475139920566","0.772903900225668","0.772903900225668","0.772903900225668","0.7838487475595924","0.7838487475595924","0.7838487475595924"
"16","0.7365069275860046","0.7365069275860046","0.7365069275860046","0.7735313532528274","0.7735313532528274","0.7735313532528274","0.7849781011263313","0.7849781011263313","0.7849781011263313"
"17","0.7361815155557919","0.7361815155557919","0.7361815155557919","0.7713305007853186","0.7713305007853186","0.7713305007853186","0.785221767788171","0.785221767788171","0.785221767788171"
"18","0.7363885949807982","0.7363885949807982","0.7363885949807982","0.7727332984423602","0.7727332984423602","0.7727332984423602","0.7834988611382067","0.7834988611382067","0.7834988611382067"
"19","0.7354601787434224","0.7354601787434224","0.7354601787434224","0.7720368912395772","0.7720368912395772","0.7720368912395772","0.7820530031740751","0.7820530031740751","0.7820530031740751"
"20","0.7392211703943318","0.7392211703943318","0.7392211703943318","0.7696598518305934","0.7696598518305934","0.7696598518305934","0.7825978513777272","0.7825978513777272","0.7825978513777272"
"21","0.7400953928359136","0.7400953928359136","0.7400953928359136","0.7709956950847292","0.7709956950847292","0.7709956950847292","0.7821223544816018","0.7821223544816018","0.7821223544816018"
"22","0.7340931555023421","0.7340931555023421","0.7340931555023421","0.7702708667395395","0.7702708667395395","0.7702708667395395","0.7808024925682215","0.7808024925682215","0.7808024925682215"
"23","0.7347469542727457","0.7347469542727457","0.7347469542727457","0.7742651050995508","0.7742651050995508","0.7742651050995508","0.7805672645694471","0.7805672645694471","0.7805672645694471"
"24","0.7372669323345141","0.7372669323345141","0.7372669323345141","0.7733825539146262","0.7733825539146262","0.7733825539146262","0.7834271698890397","0.7834271698890397","0.7834271698890397"
"25","0.7352665488775003","0.7352665488775003","0.7352665488775003","0.7735340236783469","0.7735340236783469","0.7735340236783469","0.783084963721811","0.783084963721811","0.783084963721811"
"26","0.7362274345395964","0.7362274345395964","0.7362274345395964","0.7729254556390073","0.7729254556390073","0.7729254556390073","0.7832286541634698","0.7832286541634698","0.7832286541634698"
"27","0.7375853068747912","0.7375853068747912","0.7375853068747912","0.7724076117522091","0.7724076117522091","0.7724076117522091","","",""
"28","0.7376241012081197","0.7376241012081197","0.7376241012081197","0.7726816850498428","0.7726816850498428","0.7726816850498428","","",""
"29","0.7362580799795116","0.7362580799795116","0.7362580799795116","0.771828605712898","0.771828605712898","0.771828605712898","","",""
"30","0.7368641598047699","0.7368641598047699","0.7368641598047699","0.7735956734121151","0.7735956734121151","0.7735956734121151","","",""
"31","0.7382206005244286","0.7382206005244286","0.7382206005244286","0.7726513475130354","0.7726513475130354","0.7726513475130354","","",""
"32","0.7376290224263347","0.7376290224263347","0.7376290224263347","0.771980463034974","0.771980463034974","0.771980463034974","","",""
"33","0.7373888632390077","0.7373888632390077","0.7373888632390077","0.7723465884468075","0.7723465884468075","0.7723465884468075","","",""
"34","0.7396697560569616","0.7396697560569616","0.7396697560569616","0.772072236491788","0.772072236491788","0.772072236491788","","",""
"35","0.7376290224263347","0.7376290224263347","0.7376290224263347","0.7716155905540972","0.7716155905540972","0.7716155905540972","","",""
"36","0.7352273258664127","0.7352273258664127","0.7352273258664127","0.7712487603810051","0.7712487603810051","0.7712487603810051","","",""
"37","0.7357887763155152","0.7357887763155152","0.7357887763155152","0.7715233225966652","0.7715233225966652","0.7715233225966652","","",""
"38","0.7401834721532586","0.7401834721532586","0.7401834721532586","","","","","",""
"39","0.7381886675609399","0.7381886675609399","0.7381886675609399","","","","","",""
"40","0.7422237398080044","0.7422237398080044","0.7422237398080044","","","","","",""
"41","0.7406705190335905","0.7406705190335905","0.7406705190335905","","","","","",""
"42","0.7382291210428218","0.7382291210428218","0.7382291210428218","","","","","",""
"43","0.7403905690648748","0.7403905690648748","0.7403905690648748","","","","","",""
"44","0.7397634423106808","0.7397634423106808","0.7397634423106808","","","","","",""
"45","0.7397406501345822","0.7397406501345822","0.7397406501345822","","","","","",""
"46","0.7425027280997203","0.7425027280997203","0.7425027280997203","","","","","",""
"47","0.7438209035431129","0.7438209035431129","0.7438209035431129","","","","","",""
"48","0.7413085642732227","0.7413085642732227","0.7413085642732227","","","","","",""
"49","0.7433770083163344","0.7433770083163344","0.7433770083163344","","","","","",""
"50","0.7426543416008484","0.7426543416008484","0.7426543416008484","","","","","",""
"51","0.7399429003202923","0.7399429003202923","0.7399429003202923","","","","","",""
"52","0.7426166799152033","0.7426166799152033","0.7426166799152033","","","","","",""
"53","0.7391054785960043","0.7391054785960043","0.7391054785960043","","","","","",""
"54","0.7428952326579211","0.7428952326579211","0.7428952326579211","","","","","",""
"55","0.7415016841345564","0.7415016841345564","0.7415016841345564","","","","","",""
"56","0.742781637431726","0.742781637431726","0.742781637431726","","","","","",""
"57","0.7418185690955834","0.7418185690955834","0.7418185690955834","","","","","",""
"58","0.740462494925047","0.740462494925047","0.740462494925047","","","","","",""
"59","0.7412227382646456","0.7412227382646456","0.7412227382646456","","","","","",""
"60","0.742021278739311","0.742021278739311","0.742021278739311","","","","","",""
"61","0.7424644213091035","0.7424644213091035","0.7424644213091035","","","","","",""
"62","0.7414249235141857","0.7414249235141857","0.7414249235141857","","","","","",""
"63","0.7430223996878136","0.7430223996878136","0.7430223996878136","","","","","",""
