"Step","sub ver fold3 - Val Acc","sub ver fold3 - Val Acc__MIN","sub ver fold3 - Val Acc__MAX","sub car fold1 - Val Acc","sub car fold1 - Val Acc__MIN","sub car fold1 - Val Acc__MAX","sub carver fold1 - Val Acc","sub carver fold1 - Val Acc__MIN","sub carver fold1 - Val Acc__MAX"
"0","0.9294136649975772","0.9294136649975772","0.9294136649975772","0.9307058633500243","0.9307058633500243","0.9307058633500243","0.9309643030205137","0.9309643030205137","0.9309643030205137"
"1","0.9295428848328219","0.9295428848328219","0.9295428848328219","0.9299628492973672","0.9299628492973672","0.9299628492973672","0.9322565013729608","0.9322565013729608","0.9322565013729608"
"2","0.929575189791633","0.929575189791633","0.929575189791633","0.9308673881440801","0.9308673881440801","0.9308673881440801","0.9330156679050234","0.9330156679050234","0.9330156679050234"
"3","0.9309319980617025","0.9309319980617025","0.9309319980617025","0.9316750121143595","0.9316750121143595","0.9316750121143595","0.9335325472460022","0.9335325472460022","0.9335325472460022"
"4","0.9311904377321919","0.9311904377321919","0.9311904377321919","0.9319980617024713","0.9319980617024713","0.9319980617024713","0.9335648522048134","0.9335648522048134","0.9335648522048134"
"5","0.9313196575674366","0.9313196575674366","0.9313196575674366","0.9320949765789048","0.9320949765789048","0.9320949765789048","0.9341786464222258","0.9341786464222258","0.9341786464222258"
"6","0.9320626716200937","0.9320626716200937","0.9320626716200937","0.9321272815377161","0.9321272815377161","0.9321272815377161","0.9343886286544985","0.9343886286544985","0.9343886286544985"
"7","0.9320626716200937","0.9320626716200937","0.9320626716200937","0.932482636084639","0.932482636084639","0.932482636084639","0.9341624939428202","0.9341624939428202","0.9341624939428202"
"8","0.9316427071555484","0.9316427071555484","0.9316427071555484","0.9325149410434501","0.9325149410434501","0.9325149410434501","0.9343563236956873","0.9343563236956873","0.9343563236956873"
"9","0.9321272815377161","0.9321272815377161","0.9321272815377161","0.9327410757551284","0.9327410757551284","0.9327410757551284","0.9342755612986593","0.9342755612986593","0.9342755612986593"
"10","0.9322241964141496","0.9322241964141496","0.9322241964141496","0.9330641253432402","0.9330641253432402","0.9330641253432402","0.9339040542723308","0.9339040542723308","0.9339040542723308"
"11","0.9324503311258279","0.9324503311258279","0.9324503311258279","0.9327733807139396","0.9327733807139396","0.9327733807139396","0.9343886286544985","0.9343886286544985","0.9343886286544985"
"12","0.9321272815377161","0.9321272815377161","0.9321272815377161","0.933031820384429","0.933031820384429","0.933031820384429","0.9348570505572605","0.9348570505572605","0.9348570505572605"
"13","0.9327410757551284","0.9327410757551284","0.9327410757551284","0.9326764658375061","0.9326764658375061","0.9326764658375061","0.9347439832014214","0.9347439832014214","0.9347439832014214"
"14","0.9326441608786948","0.9326441608786948","0.9326441608786948","0.9331933451784848","0.9331933451784848","0.9331933451784848","0.934679373283799","0.934679373283799","0.934679373283799"
"15","0.9329349055079955","0.9329349055079955","0.9329349055079955","0.933031820384429","0.933031820384429","0.933031820384429","0.9343563236956873","0.9343563236956873","0.9343563236956873"
"16","0.9327087707963172","0.9327087707963172","0.9327087707963172","0.9326118559198837","0.9326118559198837","0.9326118559198837","0.9348247455984494","0.9348247455984494","0.9348247455984494"
"17","0.932482636084639","0.932482636084639","0.932482636084639","0.9328379906315619","0.9328379906315619","0.9328379906315619","0.9347762881602326","0.9347762881602326","0.9347762881602326"
"18","0.9323857212082055","0.9323857212082055","0.9323857212082055","0.9332256501372961","0.9332256501372961","0.9332256501372961","0.9347116782426103","0.9347116782426103","0.9347116782426103"
"19","0.9328379906315619","0.9328379906315619","0.9328379906315619","0.9331610402196737","0.9331610402196737","0.9331610402196737","0.9340494265869811","0.9340494265869811","0.9340494265869811"
"20","0.9337748344370861","0.9337748344370861","0.9337748344370861","0.9330641253432402","0.9330641253432402","0.9330641253432402","0.9351962526247779","0.9351962526247779","0.9351962526247779"
"21","0.933581004684219","0.933581004684219","0.933581004684219","0.9329672104668066","0.9329672104668066","0.9329672104668066","0.9350185753513164","0.9350185753513164","0.9350185753513164"
"22","0.9333225650137296","0.9333225650137296","0.9333225650137296","0.9329672104668066","0.9329672104668066","0.9329672104668066","0.9347924406396382","0.9347924406396382","0.9347924406396382"
"23","0.9330641253432402","0.9330641253432402","0.9330641253432402","0.9328702955903732","0.9328702955903732","0.9328702955903732","","",""
"24","0.9340332741075755","0.9340332741075755","0.9340332741075755","","","","","",""
"25","0.9341947989016314","0.9341947989016314","0.9341947989016314","","","","","",""
"26","0.9343240187368761","0.9343240187368761","0.9343240187368761","","","","","",""
"27","0.9342594088192537","0.9342594088192537","0.9342594088192537","","","","","",""
"28","0.9341947989016314","0.9341947989016314","0.9341947989016314","","","","","",""
"29","0.9344209336133097","0.9344209336133097","0.9344209336133097","","","","","",""
"30","0.9347439832014214","0.9347439832014214","0.9347439832014214","","","","","",""
"31","0.9344209336133097","0.9344209336133097","0.9344209336133097","","","","","",""
"32","0.9345501534485543","0.9345501534485543","0.9345501534485543","","","","","",""
"33","0.9341624939428202","0.9341624939428202","0.9341624939428202","","","","","",""
"34","0.9343240187368761","0.9343240187368761","0.9343240187368761","","","","","",""
