"Step","prom car wd0.01 img - Validation","prom car wd0.01 img - Validation__MIN","prom car wd0.01 img - Validation__MAX","prom ver wd0.01 img - Validation","prom ver wd0.01 img - Validation__MIN","prom ver wd0.01 img - Validation__MAX","prom carver wd0.01 img - Validation","prom carver wd0.01 img - Validation__MIN","prom carver wd0.01 img - Validation__MAX"
"21","0.5140374898910522","0.5140374898910522","0.5140374898910522","0.4684094786643982","0.4684094786643982","0.4684094786643982","0.4699534475803375","0.4699534475803375","0.4699534475803375"
"22","0.515880286693573","0.515880286693573","0.515880286693573","0.4699467122554779","0.4699467122554779","0.4699467122554779","0.47150373458862305","0.47150373458862305","0.47150373458862305"
"23","0.5150195360183716","0.5150195360183716","0.5150195360183716","0.4663398563861847","0.4663398563861847","0.4663398563861847","0.46973034739494324","0.46973034739494324","0.46973034739494324"
"24","0.5143558979034424","0.5143558979034424","0.5143558979034424","0.46557503938674927","0.46557503938674927","0.46557503938674927","0.4691893756389618","0.4691893756389618","0.4691893756389618"
"25","0.5144345164299011","0.5144345164299011","0.5144345164299011","0.465619832277298","0.465619832277298","0.465619832277298","0.4693271815776825","0.4693271815776825","0.4693271815776825"
"26","0.5157673358917236","0.5157673358917236","0.5157673358917236","0.46570688486099243","0.46570688486099243","0.46570688486099243","0.4681454598903656","0.4681454598903656","0.4681454598903656"
"27","0.5137045979499817","0.5137045979499817","0.5137045979499817","0.46551308035850525","0.46551308035850525","0.46551308035850525","","",""
"28","0.5138489007949829","0.5138489007949829","0.5138489007949829","0.4653439223766327","0.4653439223766327","0.4653439223766327","","",""
"29","0.514197826385498","0.514197826385498","0.514197826385498","0.46560364961624146","0.46560364961624146","0.46560364961624146","","",""
"30","0.5134793519973755","0.5134793519973755","0.5134793519973755","0.46570509672164917","0.46570509672164917","0.46570509672164917","","",""
"31","0.5138083696365356","0.5138083696365356","0.5138083696365356","0.4658186733722687","0.4658186733722687","0.4658186733722687","","",""
"32","0.5130085945129395","0.5130085945129395","0.5130085945129395","0.46572014689445496","0.46572014689445496","0.46572014689445496","","",""
"33","0.5141849517822266","0.5141849517822266","0.5141849517822266","0.46564656496047974","0.46564656496047974","0.46564656496047974","","",""
"34","0.5132185220718384","0.5132185220718384","0.5132185220718384","0.46594345569610596","0.46594345569610596","0.46594345569610596","","",""
"35","0.5127478241920471","0.5127478241920471","0.5127478241920471","0.4659673273563385","0.4659673273563385","0.4659673273563385","","",""
"36","0.5135724544525146","0.5135724544525146","0.5135724544525146","0.4658483862876892","0.4658483862876892","0.4658483862876892","","",""
"37","0.512762725353241","0.512762725353241","0.512762725353241","0.46576783061027527","0.46576783061027527","0.46576783061027527","","",""
"38","0.5132993459701538","0.5132993459701538","0.5132993459701538","","","","","",""
"39","0.5126937627792358","0.5126937627792358","0.5126937627792358","","","","","",""
"40","0.5134866833686829","0.5134866833686829","0.5134866833686829","","","","","",""
"41","0.5132036209106445","0.5132036209106445","0.5132036209106445","","","","","",""
"42","0.5130192637443542","0.5130192637443542","0.5130192637443542","","","","","",""
"43","0.5130982995033264","0.5130982995033264","0.5130982995033264","","","","","",""
"44","0.5138866305351257","0.5138866305351257","0.5138866305351257","","","","","",""
"45","0.513422429561615","0.513422429561615","0.513422429561615","","","","","",""
"46","0.5125322341918945","0.5125322341918945","0.5125322341918945","","","","","",""
"47","0.5120313167572021","0.5120313167572021","0.5120313167572021","","","","","",""
"48","0.5121016502380371","0.5121016502380371","0.5121016502380371","","","","","",""
"49","0.5118798017501831","0.5118798017501831","0.5118798017501831","","","","","",""
"50","0.5117665529251099","0.5117665529251099","0.5117665529251099","","","","","",""
"51","0.5115938186645508","0.5115938186645508","0.5115938186645508","","","","","",""
"52","0.5117762088775635","0.5117762088775635","0.5117762088775635","","","","","",""
"53","0.511646032333374","0.511646032333374","0.511646032333374","","","","","",""
"54","0.5115343332290649","0.5115343332290649","0.5115343332290649","","","","","",""
"55","0.5118013620376587","0.5118013620376587","0.5118013620376587","","","","","",""
"56","0.5121279954910278","0.5121279954910278","0.5121279954910278","","","","","",""
"57","0.5120031833648682","0.5120031833648682","0.5120031833648682","","","","","",""
"58","0.5118529796600342","0.5118529796600342","0.5118529796600342","","","","","",""
"59","0.5121579766273499","0.5121579766273499","0.5121579766273499","","","","","",""
"60","0.5117971897125244","0.5117971897125244","0.5117971897125244","","","","","",""
"61","0.5119591951370239","0.5119591951370239","0.5119591951370239","","","","","",""
"62","0.5122402906417847","0.5122402906417847","0.5122402906417847","","","","","",""
"63","0.51190185546875","0.51190185546875","0.51190185546875","","","","","",""
