"Step","prom car wd0.01 img - Validation","prom car wd0.01 img - Validation__MIN","prom car wd0.01 img - Validation__MAX","prom ver wd0.01 img - Validation","prom ver wd0.01 img - Validation__MIN","prom ver wd0.01 img - Validation__MAX","prom carver wd0.01 img - Validation","prom carver wd0.01 img - Validation__MIN","prom carver wd0.01 img - Validation__MAX"
"0","0.5955477952957153","0.5955477952957153","0.5955477952957153","0.562773585319519","0.562773585319519","0.562773585319519","0.5689995884895325","0.5689995884895325","0.5689995884895325"
"1","0.5779495239257812","0.5779495239257812","0.5779495239257812","0.5492037534713745","0.5492037534713745","0.5492037534713745","0.5939465761184692","0.5939465761184692","0.5939465761184692"
"2","0.5967475771903992","0.5967475771903992","0.5967475771903992","0.5901042819023132","0.5901042819023132","0.5901042819023132","0.6132125854492188","0.6132125854492188","0.6132125854492188"
"3","0.5996206998825073","0.5996206998825073","0.5996206998825073","0.6284990310668945","0.6284990310668945","0.6284990310668945","0.6246270537376404","0.6246270537376404","0.6246270537376404"
"4","0.6184574365615845","0.6184574365615845","0.6184574365615845","0.6265483498573303","0.6265483498573303","0.6265483498573303","0.6228685975074768","0.6228685975074768","0.6228685975074768"
"5","0.6175560355186462","0.6175560355186462","0.6175560355186462","0.6417734026908875","0.6417734026908875","0.6417734026908875","0.5963473320007324","0.5963473320007324","0.5963473320007324"
"6","0.6327168941497803","0.6327168941497803","0.6327168941497803","0.641750693321228","0.641750693321228","0.641750693321228","0.614222526550293","0.614222526550293","0.614222526550293"
"7","0.6296690106391907","0.6296690106391907","0.6296690106391907","0.6418780088424683","0.6418780088424683","0.6418780088424683","0.49263718724250793","0.49263718724250793","0.49263718724250793"
"8","0.5632206797599792","0.5632206797599792","0.5632206797599792","0.5713633298873901","0.5713633298873901","0.5713633298873901","0.4738163650035858","0.4738163650035858","0.4738163650035858"
"9","0.5266458988189697","0.5266458988189697","0.5266458988189697","0.4953596591949463","0.4953596591949463","0.4953596591949463","0.4701000452041626","0.4701000452041626","0.4701000452041626"
"10","0.5219685435295105","0.5219685435295105","0.5219685435295105","0.4768640398979187","0.4768640398979187","0.4768640398979187","0.46900904178619385","0.46900904178619385","0.46900904178619385"
"11","0.519783616065979","0.519783616065979","0.519783616065979","0.47211015224456787","0.47211015224456787","0.47211015224456787","0.4693461060523987","0.4693461060523987","0.4693461060523987"
"12","0.5178558826446533","0.5178558826446533","0.5178558826446533","0.4707639813423157","0.4707639813423157","0.4707639813423157","0.4695805609226227","0.4695805609226227","0.4695805609226227"
"13","0.5177226066589355","0.5177226066589355","0.5177226066589355","0.4698393642902374","0.4698393642902374","0.4698393642902374","0.46983858942985535","0.46983858942985535","0.46983858942985535"
"14","0.5178163051605225","0.5178163051605225","0.5178163051605225","0.46918851137161255","0.46918851137161255","0.46918851137161255","0.469612717628479","0.469612717628479","0.469612717628479"
"15","0.516155481338501","0.516155481338501","0.516155481338501","0.46866703033447266","0.46866703033447266","0.46866703033447266","0.46835562586784363","0.46835562586784363","0.46835562586784363"
"16","0.5157789587974548","0.5157789587974548","0.5157789587974548","0.4682874381542206","0.4682874381542206","0.4682874381542206","0.4698944091796875","0.4698944091796875","0.4698944091796875"
"17","0.5161522626876831","0.5161522626876831","0.5161522626876831","0.46859392523765564","0.46859392523765564","0.46859392523765564","0.46809911727905273","0.46809911727905273","0.46809911727905273"
"18","0.5160452127456665","0.5160452127456665","0.5160452127456665","0.46837562322616577","0.46837562322616577","0.46837562322616577","0.4691939353942871","0.4691939353942871","0.4691939353942871"
"19","0.5154363512992859","0.5154363512992859","0.5154363512992859","0.4693678319454193","0.4693678319454193","0.4693678319454193","0.46978577971458435","0.46978577971458435","0.46978577971458435"
"20","0.515228271484375","0.515228271484375","0.515228271484375","0.46894240379333496","0.46894240379333496","0.46894240379333496","0.47067564725875854","0.47067564725875854","0.47067564725875854"
